Trial ID,Location,reps,trt,TrtN,Plot No.,Treatment Name, Rate,Rate Unit,Appl Code,PulsControl41DAT,P.peaControl41DAT,GrassControl41DAT,CattailControl41DAT,PulsControl68DAT,P.peaControl68DAT,GrassControl68DAT,CattailControl68DAT,PulsControl433DAT,BroadleafControl433DAB,GrassControl433DAB,OverallControl433DAB,PulsControl340DAA,GrassControl340DAA,PulsComposit373DAB,BroadleafComposit373DAB,GrassComposit373DAB,PulsComposit765DAC,BroadleafComposit765DAC,GrassComposit765DAC,PulsControl765DAB,BroadleafControl765DAB,GrassControl765DAB,Overall765DAB,PulsControl807DAC,BroadleafControl807DAC,GrassControl807DAC,PulsControl1081DAC,BroadleafControl1081DAC,GrassControl1081DAC,OverallControl1081DAC,PulsControl1081DAC,BroadleafControl1081DAC,GrassControl1081,PulsControl1175,BroadleafControl1175,GrassControl1175,PulsComposit1824,BroadleafComposit1824,GrassComposit1824,PulsControl1907,Broadleaf1907,Grass1907,PulsComposit1907,BroadleafComposit1907,GrassComposit1907,PulsControl2284,BroadleafControl2284, GrassControl430DAF,PulsComposit2284DAF,BroadleafComposit2284DAF,GrassComposit2284DAF,PulsComposit2545,BroadleafComposit2545DAF,GrassComposit2545DAF,PulsControl2631DAG,BroadleafControl2631DAG,GrassControl2631DAG
09 PLS-2 arm7,Dixon,3,3,"2,4-D2.5",309,"2,4-D Amine",2.5,PT/A,A,60, , ,60,65,30,30,30,100,100,20,40,60,30,60,10,30,80,10,10,20,90,90, ,85,100,20,40,90,70,0,60,10,30,60,90,10,80,10,10,60,60,10,40,40,90,40,80,80,60,20,20,60,20,20,40,40,20
09 PLS-2 arm7,Dixon,4,3,"2,4-D2.5",410,"2,4-D Amine",2.5,PT/A,A,65, ,30, ,70, ,30, ,100,95,10,60,60,30,30,10,60,30,30,40,70,70,60,0,70,80,10,60,90,50,0,40,10,50,60,100,20,40,20,40,60,80,30,40,20,70,90,60,50,10,40,50,10,80,10,100,60,40
09 PLS-2 arm7,Dixon,1,4,"2,4-D5",104,"2,4-D Amine",5,PT/A,A,90,80,30, ,100,90,20, ,90,100,20,80,70,30,50,0,50,30,10,60,70,90,40,0,100,100,20,50,90,60,0,50,10,40,70,80,10,60,20,20,70,80,20,30,20,80,60,70,70,40,30,30,20,30,50,75,50,20
09 PLS-2 arm7,Dixon,2,4,"2,4-D5",214,"2,4-D Amine",5,PT/A,A,90,70,30, ,95, ,20,20,100,100,10,50,70,10,30,10,60,30,10,60,70,90,40,0,80,80,20,90,90,20,0,10,10,80,80,95,10,30,40,30,60,70,10,40,30,90,70,60,70,30,40,30,10,80,10,80,80,20
09 PLS-2 arm7,Dixon,3,4,"2,4-D5",301,"2,4-D Amine",5,PT/A,A,95, ,90, ,95, ,30,35,100,100,10,40,95,10,20,20,80,20,10,70,80,90,30,0,100,95,10,70,100,30,0,30,0,70,80,95,10,30,40,30,75,85,30,25,15,70,70,80,50,30,20,50,10,80,10,80,65,20
09 PLS-2 arm7,Dixon,4,4,"2,4-D5",412,"2,4-D Amine",5,PT/A,A,90,90,90, ,95, ,30, ,100,100,10,60,80,10,30,10,60,20,30,40,80,70,60,10,100,80,20,80,80,40,0,20,20,60,100,100,10,10,10,80,80,80,10,20,20,90,90,90,20,10,10,80,0,80,20,90,20,60
09 PLS-2 arm7,Dixon,1,5,Garlon3,105,Garlon 3A,3,PT/A,A,70, ,50, ,60, ,20, ,90,100,20,70,25,30,70,0,30,30,10,60,70,90,40,0,80,100,20,20,90,90,0,80,10,10,60,90,10,60,20,20,60,70,20,40,30,80,40,80,80,60,20,20,50,20,30,40,70,20
09 PLS-2 arm7,Dixon,2,5,Garlon3,208,Garlon 3A,3,PT/A,A,65, ,40, ,60, ,0, ,70,90,20,50,50,50,30,30,40,80,10,10,20,90,90,0,80,80,30,10,100,90,0,90,0,10,60,90,10,80,10,10,35,80,30,65,20,70,40,80,80,60,20,20,40,40,10,60,60,30
09 PLS-2 arm7,Dixon,3,5,Garlon3,304,Garlon 3A,3,PT/A,A,75, ,10,0,70, ,30, ,100,100,20,50,70,30,20,10,70,20,30,50,80,70,50,0,85,100,20,60,90,50,0,40,10,50,75,100,10,40,40,20,60,60,30,40,40,70,60,60,40,40,40,60,20,30,50,70,80,20
09 PLS-2 arm7,Dixon,4,5,Garlon3,402,Garlon 3A,3,PT/A,A,75, ,30,50,65, ,30, ,85,90,10,60,20,10,80,10,10,80,10,10,30,90,90,0,70,70,30,40,80,80,0,60,20,20,60,100,10,60,20,20,35,70,10,65,30,90,60,70,70,40,30,30,10,70,20,50,50,20
09 PLS-2 arm7,Dixon,1,6,Garlon5,106,Garlon 3A,5,PT/A,A,90, ,50, ,80, ,20, ,99,100,20,75,60,30,50,0,50,20,10,70,80,20,30,0,100,100,20,60,80,60,0,40,20,40,90,90,10,30,20,50,75,100,30,25,0,30,60,80,60,40,20,40,30,30,40,80,80,20
09 PLS-2 arm7,Dixon,2,6,Garlon5,204,Garlon 3A,5,PT/A,A,90, ,70, ,90, ,30, ,100,100,10,40,50,30,50,30,20,30,10,60,70,90,40,0,70,80,20,80,60,60,0,20,40,40,100,100,10,30,60,10,50,80,30,50,20,70,70,80,50,30,20,50,10,60,30,60,85,35
09 PLS-2 arm7,Dixon,3,6,Garlon5,310,Garlon 3A,5,PT/A,A,85, , ,60,85, ,30,30,90,100,20,60,40,30,60,10,30,50,30,20,50,70,80, ,100,100,20,60,90,50,0,40,10,50,70,90,10,80,10,10,40,80,10,60,20,90,80,70,50,20,30,50,40,30,30,50,50,20
09 PLS-2 arm7,Dixon,4,6,Garlon5,407,Garlon 3A,5,PT/A,A,90, , , ,85, ,30,70,100,100,20,70,50,10,20,30,50,10,0,70,90,100,30,20,100,100,10,80,90,30,0,20,10,70,100,100,10,30,20,50,50,80,10,50,20,90,80,90,30,20,10,70,10,80,10,100,90,20
09 PLS-2 arm7,Dixon,1,7,Ar4+Sun.25+UAN3,107,Arsenal,4,PT/A,A,70, ,90, ,80,90,90, ,100,100,100,100,100,100,0,100,0,0,100,0,100,0,100,10, , , ,100,0,100,0,0,100,0, , , ,10,70,20,100,100,100,0,0,0,100,20,100,0,80,0,0,90,10,100,60,100
09 PLS-2 arm7,Dixon,1,7,Ar4+Sun.25+UAN3,107,Sun-it II,0.25,% V/V,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,1,7,Ar4+Sun.25+UAN3,107,UAN,3,PT/A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,2,7,Ar4+Sun.25+UAN3,210,Arsenal,4,PT/A,A,80, , , ,85, ,80, ,100,100,100,100,100,100,0,100,0,0,90,0,100,10,100,10, , , ,100,30,100,30,0,70,0, , , ,60,30,10,80,100,100,20,0,0,100,60,100,0,40,0,0,80,20,100,60,100
09 PLS-2 arm7,Dixon,2,7,Ar4+Sun.25+UAN3,210,Sun-it II,0.25,% V/V,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,2,7,Ar4+Sun.25+UAN3,210,UAN,3,PT/A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,3,7,Ar4+Sun.25+UAN3,306,Arsenal,4,PT/A,A,75, ,40, ,90, ,85, ,100,100,100,100,100,100,0,100,0,0,100,0,100,0,100,0, , , ,100,40,100,40,0,60,0, , , ,30,50,20,95,100,100,5,0,0, , , , , , ,0,80,20,100,75,100
09 PLS-2 arm7,Dixon,3,7,Ar4+Sun.25+UAN3,306,Sun-it II,0.25,% V/V,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,3,7,Ar4+Sun.25+UAN3,306,UAN,3,PT/A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,4,7,Ar4+Sun.25+UAN3,403,Arsenal,4,PT/A,A,85, ,80, ,80, ,80, ,100,100,100,100,100,100,0,100,0,0,80,0,100,0,100,20, , , ,100,10,100,10,0,90,0, , , ,40,40,20,100,100,100,0,0,0,100,40,100,0,60,0,0,70,30,100,50,100
09 PLS-2 arm7,Dixon,4,7,Ar4+Sun.25+UAN3,403,Sun-it II,0.25,% V/V,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,4,7,Ar4+Sun.25+UAN3,403,UAN,3,PT/A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,1,8,Ar6+Sun.25+UAN3,108,Arsenal,6,PT/A,A,80, ,90, ,90,90,90, ,100,100,100,100,100,100,0,100,0,0,100,0,100,0,100,10, , , ,100,0,100,0,0,100,0, , , ,10,70,20,100,100,100,0,0,0,100,20,100,0,80,0,0,90,10,100,60,100
09 PLS-2 arm7,Dixon,1,8,Ar6+Sun.25+UAN3,108,Sun-it II,0.25,% V/V,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,1,8,Ar6+Sun.25+UAN3,108,UAN,3,PT/A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,2,8,Ar6+Sun.25+UAN3,205,Arsenal,6,PT/A,A,85, , , ,90,90,90, ,100,100,100,100,100,100,0,100,0,0,100,0,100,0,100,0, , , ,100,20,100,0,0,80,0, , , ,50,40,10,85,100,100,15,0,0,100,20,100,0,80,0,0,70,30,100,65,100
09 PLS-2 arm7,Dixon,2,8,Ar6+Sun.25+UAN3,205,Sun-it II,0.25,% V/V,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,2,8,Ar6+Sun.25+UAN3,205,UAN,3,PT/A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,3,8,Ar6+Sun.25+UAN3,311,Arsenal,6,PT/A,A,75, , ,70,85, ,85,85,100,100,100,100,100,100,0,100,0,0,30,0,100,70,100,60, , , ,100,40,100,40,0,60,0, , , ,30,60,10,100,100,100,0,0,0,100,40,100,0,60,0,0,70,30,100,60,100
09 PLS-2 arm7,Dixon,3,8,Ar6+Sun.25+UAN3,311,Sun-it II,0.25,% V/V,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,3,8,Ar6+Sun.25+UAN3,311,UAN,3,PT/A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,4,8,Ar6+Sun.25+UAN3,409,Arsenal,6,PT/A,A,85, ,90, ,85, ,85,85,100,100,100,100,100,100,0,100,0,0,90,0,100,10,0,10, , , ,100,20,100,20,0,80,0, , , ,30,40,30,100,100,100,0,0,0,100,30,100,0,70,0,0,80,10,100,60,100
09 PLS-2 arm7,Dixon,4,8,Ar6+Sun.25+UAN3,409,Sun-it II,0.25,% V/V,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,4,8,Ar6+Sun.25+UAN3,409,UAN,3,PT/A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,1,9,Escort2,109,Escort,2,OZ/A,A,70, ,50, ,80, ,30, ,100,100,40,60,80,40,10,0,90,0,30,50,100,70,50,20, , , ,100,90,10,0,0,10,90, , , ,0,20,80, , , ,0,20,80,100,60,40,0,40,60,5,90,5,95,80,20
09 PLS-2 arm7,Dixon,2,9,Escort2,202,Escort,2,OZ/A,A,70, , , ,80, ,30, ,100,100,30,60,95,40,10,20,70,5,10,85,95,90,15,0, , , ,100,90,20,0,0,10,80, , , ,10,30,50, , , ,5,20,25,100,70,30,0,30,70,30,40,40,95,95,20
09 PLS-2 arm7,Dixon,3,9,Escort2,307,Escort,2,OZ/A,A,75, ,40, ,80, ,30, ,100,100,60,80,95,10,10,20,70,0,50,30,100,50,70,20, , , ,100,100,0,0,0,0,100, , , ,0,50,50, , , ,0,30,70,100,60,40,0,40,60,0,30,70,100,100,40
09 PLS-2 arm7,Dixon,4,9,Escort2,415,Escort,2,OZ/A,A,70, , , ,75, ,30, ,100,100,30,60,85,10,10,10,80,0,10,90,100,90,10,0, , , ,100,100,0,0,0,0,100, , , ,0,10,90, , , ,0,10,90,90,90,20,10,10,80,5,50,45,95,90,20
09 PLS-2 arm7,Dixon,1,10,Escort4,110,Escort,4,OZ/A,A,80, ,50, ,90, ,30, ,100,100,70,80,95,60,10,50,40,0,40,30,100,60,70,30, , , ,100,90,10,0,0,10,90, , , ,0,20,80, , , ,0,20,80,100,60,40,0,40,60,5,90,5,100,85,20
09 PLS-2 arm7,Dixon,2,10,Escort4,211,Escort,4,OZ/A,A,80, , , ,80, ,30, ,100,100,70,80,80,20,10,10,80,0,30,60,100,70,40,10, , , ,100,80,20,0,0,20,80, , , ,5,60,35, , , ,0,35,65,100,70,30,0,30,70,10,80,10,100,100,20
09 PLS-2 arm7,Dixon,3,10,Escort4,302,Escort,4,OZ/A,A,85, , , ,85, ,30, ,100,100,60,60,99,40,10,20,70,0,20,30,100,80,70,40, , , ,100,50,50,0,0,50,50, , , ,5, , , , , ,0,30,70,100,40,60,0,60,40,0,80,20,100,80,20
09 PLS-2 arm7,Dixon,4,10,Escort4,405,Escort,4,OZ/A,A,85,90,60, ,85, ,30, ,100,100,30,80,95,10,10,10,80,0,20,80,100,80,20,0, , , ,100,100,0,0,0,0,100, , , ,0,30,70, , , ,0,10,90,80,60,60,20,40,40,0,50,50,80,90,20
09 PLS-2 arm7,Dixon,1,11,Kre3+COC.5,111,Krenite S,3,GAL/A,A,50, , , ,50, , , ,95,80,30,50,50,80,10,50,40,30,30,30,70,70,70,10,100,50,60,100,60,40,0,0,40,60,100,60,100,10,80,10,85,95,35,15,5,65,100,80,20,0,20,80,10,80,10,75,80,20
09 PLS-2 arm7,Dixon,1,11,Kre3+COC.5,111,Crop Oil Conc,0.5,% V/V,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,2,11,Kre3+COC.5,203,Krenite S,3,GAL/A,A,50, , , ,50, , , ,90,100,80,80,80,60,30,20,50,40,40,20,60,60,80,0,90,70,50,90,70,40,0,10,30,60,100,80,100,30,40,30,40,85,20,60,15,80,70,80,50,30,20,50,40,40,10,75,95,30
09 PLS-2 arm7,Dixon,2,11,Kre3+COC.5,203,Crop Oil Conc,0.5,% V/V,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,3,11,Kre3+COC.5,305,Krenite S,3,GAL/A,A,60, , , ,50, , , ,80,95,80,80,50,50,30,30,40,20,70,10,80,30,90,0,80,30,50,100,30,70,0,0,70,30,100,60,100,50,30,20,80,80,40,20,20,60,100,40,60,0,60,40,0,80,20,80,80,65
09 PLS-2 arm7,Dixon,3,11,Kre3+COC.5,305,Crop Oil Conc,0.5,% V/V,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,4,11,Kre3+COC.5,413,Krenite S,3,GAL/A,A,60, , , ,50, ,40, ,100,100,20,60,90,10,10,30,60,30,20,40,70,80,60,10,90,85,60,80,60,40,0,20,40,60,100,30,80,30,30,40,60,60,30,40,40,70,100,90,10,0,10,90,10,80,10,80,80,60
09 PLS-2 arm7,Dixon,4,11,Kre3+COC.5,413,Crop Oil Conc,0.5,% V/V,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,1,12,Kre5+COC.5,112,Krenite S,5,GAL/A,A,60, , , ,70, , , ,95,80,30,50,90,60,10,10,80,10,30,20,90,70,80,20,100,70,60,100,60,40,0,0,40,60, , , ,40,40,20,65,95,35,35,5,65,100,60,40,0,40,60,10,80,10,95,95,20
09 PLS-2 arm7,Dixon,1,12,Kre5+COC.5,112,Crop Oil Conc,0.5,% V/V,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,2,12,Kre5+COC.5,207,Krenite S,5,GAL/A,A,75, , , ,80, , , ,100,100,70,80,95,35,20,40,40,10,40,50,90,60,50,0,100,70,80,100,50,50,0,0,50,50, , , ,40,40,10,70,95,30,30,5,70,70,60,70,30,40,30,10,60,30,85,85,20
09 PLS-2 arm7,Dixon,2,12,Kre5+COC.5,207,Crop Oil Conc,0.5,% V/V,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,3,12,Kre5+COC.5,314,Krenite S,5,GAL/A,A,80, , , ,80, ,60,50,100,95,80,80,80,20,10,20,70,0,20,70,100,80,30,10,100,100,70,100,50,50,0,0,50,50, , , ,20,60,20,70,70,30,30,30,70,100,60,40,0,40,60,0,80,20,100,90,20
09 PLS-2 arm7,Dixon,3,12,Kre5+COC.5,314,Crop Oil Conc,0.5,% V/V,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,4,12,Kre5+COC.5,408,Krenite S,5,GAL/A,A,80, , , ,75, , , ,100,100,90,90,90,50,10,40,50,10,70,30,90,30,80,0,100,70,100,100,10,90,0,0,90,10, , , ,60,20,20,30,40,40,70,60,60,90,40,70,10,60,30,10,60,30,80,80,20
09 PLS-2 arm7,Dixon,4,12,Kre5+COC.5,408,Crop Oil Conc,0.5,% V/V,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,1,13,"Garlon3+2,4-D2.5",113,Garlon 3A,3,PT/A,A,100, ,40, ,100, ,30, ,100,100,20,50,50,20,30,30,40,30,20, ,70,80,50,0,100,100,20,100,90,10,0,0,10,90,100,90,10,20,60,20,80,90,10,20,10,90,90,80,30,10,20,70,0,80,20,80,80,20
09 PLS-2 arm7,Dixon,1,13,"Garlon3+2,4-D2.5",113,"2,4-D Amine",2.5,PT/A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,2,13,"Garlon3+2,4-D2.5",215,Garlon 3A,3,PT/A,A,95, ,30,70,100, ,30,30,100,100,10,50,85,10,10,10,80,20,20,60,80,80,40,0,100,80,10,90,90,20,0,10,10,80, , , ,30,40,30,70,100,30,30,0,70,70,60,70,30,40,30,10,80,10,70,80,30
09 PLS-2 arm7,Dixon,2,13,"Garlon3+2,4-D2.5",215,"2,4-D Amine",2.5,PT/A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,3,13,"Garlon3+2,4-D2.5",312,Garlon 3A,3,PT/A,A,100,100,30,30,100, ,30,60,100,100,20,60,50,20,10,10,80,0,40,60,100,60,40,0,100,80,30,100,50,50,0,0,50,50, , , ,10,30,60,90,90,10,10,10,90,100,70,30,0,30,70,0,60,40,80,80,20
09 PLS-2 arm7,Dixon,3,13,"Garlon3+2,4-D2.5",312,"2,4-D Amine",2.5,PT/A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,4,13,"Garlon3+2,4-D2.5",404,Garlon 3A,3,PT/A,A,95,90,50, ,100, ,30,30,100,100,20,50,80,10,10,10,80,20,20,40,80,80,60,20,100,100,20,80,100,20,0,20,0,80, , , ,30,30,40,40,40,10,60,60,90,80,80,40,20,20,60,10,80,10,80,80,20
09 PLS-2 arm7,Dixon,4,13,"Garlon3+2,4-D2.5",404,"2,4-D Amine",2.5,PT/A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,1,14,"Escort1+2,4-D2.5",114,Escort,1,OZ/A,A,90, ,50, ,90, ,30, ,100,100,20,80,80,20,30,50,20,10,60,30,90,40,70,0,100,100,30,100,90,10,0,0,10,90, , , ,30,20,50,95,90,10,5,10,90,100,70,30,0,30,70,10,60,30,100,80,20
09 PLS-2 arm7,Dixon,1,14,"Escort1+2,4-D2.5",114,"2,4-D Amine",2.5,PT/A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,2,14,"Escort1+2,4-D2.5",212,Escort,1,OZ/A,A,90, ,30, ,95, ,30, ,100,100,60,60,80,10,10,10,80,0,20,60,100,80,40,20,100,100,20,100,100,0,0,0,0,100, , , ,10,70,20,90,90,10,10,10,90,100,90,10,0,10,90,10,80,10,100,100,30
09 PLS-2 arm7,Dixon,2,14,"Escort1+2,4-D2.5",212,"2,4-D Amine",2.5,PT/A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,3,14,"Escort1+2,4-D2.5",315,Escort,1,OZ/A,A,85, ,40,40,85, ,30,60,100,100,80,80,80,20,10,10,80,0,20,70,100,80,30,10,100,100,10,100,90,10,0,0,10,90, , , ,0,40,60,80,90,10,20,10,90,100,90,10,0,10,90,0,70,30,100,95,20
09 PLS-2 arm7,Dixon,3,14,"Escort1+2,4-D2.5",315,"2,4-D Amine",2.5,PT/A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 PLS-2 arm7,Dixon,4,14,"Escort1+2,4-D2.5",414,Escort,1,OZ/A,A,85, ,30, ,95, ,30, ,100,100,60,75,80,30,10,30,60,30,10,40,70,90,60,20,80,100,50,100,100,0,0,0,0,100, , , ,20,20,60,80,80,10,20,20,90,90,90,20,10,10,80,5,50,50,95,90,20
