Trial ID,Location,reps,trt,TrtN,Plot No.,Treatment Name, Rate,Rate Unit,Appl Code,PulsComposit0DBT,SwclComposit0DBT,WillowComposit0DBT,PulsControl21DAT,SwclControl21DAT,WillowControl21DAT,GrassesControl21DAT,OverAllControl21DAT,PulsControl63DAT,SwclControl63DAT,WillowControl63DAT,GrassesControl63DAT,OverAllControl63DAT,PulsComposit364DAT,GrassComposit364DAT,BrdleafComposit364DAT,PulsControl364DAT,GrassControl364DAT,BrdleafControl364DAT,OverAllControl364DAT,PulsControl707DAT,BrdleafControl707DAT,GrassControl707DAT,OverAllControl707DAT,PulsControl707DAT,BrdleafControl707DAT,GrassControl707DAT,PulsControl64DAB,BrdleafControl64DAB,GrassControl64DAB,PulsComposit353DAB,GrassComposit353DAB,BrdleafComposit353DAB,PulsControl353DAB,BrdleafControl353DAB,GrassControl353DAB,PulsComposit708DAB,BroadleaComposit708DAB,GrassesComposit708DAB
06PLS-3,Buffalo,1,8,Ar6+Sun.25+UAN3,123,Sun-it II,0.25,% V/V,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,1,8,Ar6+Sun.25+UAN3,123,UAN,3,PT/A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,1,9,Escort2,124,Escort,2,OZ/A,A,0,80,20,NA,80,80, ,80,NA,100,100,80,90,0,90,10,100,10,90,30,100,100,0,0,0,0,100,100,100,30,0,10,90,100,90,10,0,40,60
06PLS-3,Buffalo,1,10,Escort4,125,Escort,4,OZ/A,A,0,80,20,NA,90,90,30,90,NA,100,100,80,90,0,95,5,100,15,95,20,100,100,0,0,0,0,100, , , ,0,10,90,100,90,10,0,40,60
06PLS-3,Buffalo,1,11,Kre3+COC.5,126,Krenite S,3,GAL/A,A,0,70,30,NA,60,60, ,60,NA,100,100,70,80,0,90,10,100,10,90,30,100,80,20,0,0,20,80, , , ,0,10,90,100,90,10,0,60,40
06PLS-3,Buffalo,1,11,Kre3+COC.5,126,Crop Oil Conc,0.5,% V/V,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,1,12,Kre5+COC.5,127,Krenite S,5,GAL/A,A,30,60,10,40,80,80, ,70,70,100,100,60,80,0,50,50,100,50,50,50,100,90,10,0,0,10,90, , , ,0,10,90,100,90,10,0,70,30
06PLS-3,Buffalo,1,12,Kre5+COC.5,127,Crop Oil Conc,0.5,% V/V,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,1,13,"Garlon3+2,4-D2.5",128,Garlon 3A,3,PT/A,A,10,60,30,80,80,80, ,80,95,99,99,30,85,10,50,40,90,50,60,50,100,60,40,0,0,40,60,100,80,30,0,10,90,100,90,10,0,60,40
06PLS-3,Buffalo,1,13,"Garlon3+2,4-D2.5",128,"2,4-D Amine",2.5,PT/A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,1,14,"Escort1+2,4-D2.5",129,Escort,1,OZ/A,A,0,60,40, ,90,90, ,90, ,100,100,50,85,10,70,20,90,30,80,40,100,100,0,0,0,0,100,100,70,50,0,30,40,100,70,60,0,60,40
06PLS-3,Buffalo,1,14,"Escort1+2,4-D2.5",129,"2,4-D Amine",2.5,PT/A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,1,15,Weedy,130,Weedy Check, , , ,10,60,30,0,0,0,0,0,0,0,0,0,0,30,30,40,0,0,0,0,90,20,0,0,10,80,10,0,0,0,30,40,30,70,60,70,60,20,20
06PLS-3,Buffalo,2,14,"Escort1+2,4-D2.5",216,Escort,1,OZ/A,A,0,80,20,NA,95,95, ,95,NA,100,100,60,90,0,50,50,100,50,50,50,100,100,0,0,0,0,100,100,60,10,0,20,80,100,80,20,0,80,20
06PLS-3,Buffalo,2,14,"Escort1+2,4-D2.5",216,"2,4-D Amine",2.5,PT/A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,2,10,Escort4,217,Escort,4,OZ/A,A,0,80,20,NA,80,85, ,80,NA,100,100,90,100,0,90,10,100,10,90,30,100,100,0,0,0,0,100,NA,NA,NA,0,10,90,100,90,10,0,40,60
06PLS-3,Buffalo,2,2,Rodeo6,218,Rodeo,6,PT/A,A,0,80,20,NA,70,95, ,85,NA,80,80,80,80,0,85,15,100,15,85,30,100,100,0,0,0,0,100,100,70,50,0,30,40,100,70,60,0,30,70
06PLS-3,Buffalo,2,9,Escort2,219,Escort,2,OZ/A,A,0,80,20,NA,85,80,10,80,NA,100,100,70,90,0,80,20,100,20,80,30,100,70,30,0,0,30,70,100,90,10,0,10,90,100,90,10,0,30,70
06PLS-3,Buffalo,2,4,"2,4-D5",220,"2,4-D Amine",5,PT/A,A,0,50,50,NA,90,100,20,95,NA,100,100,20,90,0,40,60,100,60,40,40,100,30,70,0,0,70,30,100,80,20,0,20,80,100,80,20,0,20,80
06PLS-3,Buffalo,2,3,"2,4-D2.5",221,"2,4-D Amine",2.5,PT/A,A,0,50,50,NA,80,80,10,80,NA,100,100,20,90,0,30,70,100,70,30,30,100,20,80,0,0,80,20,100,75,30,0,40,10,100,60,90,0,20,80
06PLS-3,Buffalo,2,8,Ar6+Sun.25+UAN3,222,Arsenal,6,PT/A,A,0,80,20,NA,50,50,0,50,NA,100,100,90,100,0,20,20,100,80,80,80,100,20,100,0,0,80,0,NA,NA,NA,0,50,10,100,50,90,0,80,20
06PLS-3,Buffalo,2,8,Ar6+Sun.25+UAN3,222,Sun-it II,0.25,% V/V,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,2,8,Ar6+Sun.25+UAN3,222,UAN,3,PT/A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,2,15,Weedy,223,Weedy Check, , , ,10,60,30,0,0,0,0,0,0,0,0,0,0,10,50,50,0,0,0,0,100,50,50,0,0,50,50,0,0,0,0,30,70,100,70,30,0,50,50
06PLS-3,Buffalo,2,5,Garlon3,224,Garlon 3A,3,PT/A,A,10,60,30,80,80,95,10,90,95,95,100,20,95,0,50,50,100,50,50,50,80,90,30,0,20,10,70,100,70,10,10,20,60,90,80,40,0,10,90
06PLS-3,Buffalo,2,11,Kre3+COC.5,225,Krenite S,3,GAL/A,A,10,60,30,45,60,55,30,50,90,100,100,70,90,0,80,20,100,20,80,30,100,70,30,0,0,30,70,NA,NA,NA,0,10,90,100,90,10,0,10,90
06PLS-3,Buffalo,2,11,Kre3+COC.5,225,Crop Oil Conc,0.5,% V/V,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,2,7,Ar4+Sun.25+UAN3,226,Arsenal,4,PT/A,A,10,60,30,20,50,50, ,40,100,100,100,100,100,0,30,30,100,70,70,70,100,40,60,0,0,60,40,100,80,85,0,10,0,100,90,100,0,10,90
06PLS-3,Buffalo,2,7,Ar4+Sun.25+UAN3,226,Sun-it II,0.25,% V/V,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,2,7,Ar4+Sun.25+UAN3,226,UAN,3,PT/A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,2,1,Rodeo4,227,Rodeo,4,PT/A,A,0,60,40, ,50,40, ,45, ,70,70,80,80,0,70,30,100,30,70,40,100,100,0,0,0,0,100,100,80,70,0,10,80,100,90,20,0,10,90
06PLS-3,Buffalo,2,12,Kre5+COC.5,228,Krenite S,5,GAL/A,A,10,60,30,10,60,70,10,60,90,100,100,40,90,0,90,10,100,10,90,50,100,100,0,0,0,0,100,NA,NA,NA,0,40,60,100,60,40,0,10,90
06PLS-3,Buffalo,2,12,Kre5+COC.5,228,Crop Oil Conc,0.5,% V/V,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,2,6,Garlon5,229,Garlon 3A,5,PT/A,A,30,30,40,90,80,100,10,95,90,90,90,20,80,10,80,10,90,20,90,40,100,60,40,0,0,40,60,100,80,20,20,30,50,80,70,50,0,10,90
06PLS-3,Buffalo,2,13,"Garlon3+2,4-D2.5",230,Garlon 3A,3,PT/A,A,30,30,40,70,85,85,10,80,90,100,100,20,95,30,60,10,70,40,90,40,80,90,30,0,20,10,70,100,60,10,30,10,60,70,90,40,0,80,20
06PLS-3,Buffalo,2,13,"Garlon3+2,4-D2.5",230,"2,4-D Amine",2.5,PT/A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,3,5,Garlon3,316,Garlon 3A,3,PT/A,A,0,70,30,NA,80,80,10,80,NA,100,100,20,95,0,30,60,100,70,40,50,100,10,90,0,0,90,10,100,60,50,0,40,50,100,60,50,0,80, 
06PLS-3,Buffalo,3,15,Weedy,317,Weedy Check, , , ,0,70,30,NA,0,0,0,0,NA,0,0,0,0,10,20,70,0,0,0,0,100,20,80,0,0,80,20,0,0,0,0,50,50,100,50,50,40,30,30
06PLS-3,Buffalo,3,4,"2,4-D5",318,"2,4-D Amine",5,PT/A,A,0,60,40,NA,90,85,10,85,NA,100,100,20,95,0,50,50,100,50,50,50,100,20,80,0,0,80,20,100,70,20,0,40,20,100,60,80,0,80,20
06PLS-3,Buffalo,3,6,Garlon5,319,Garlon 3A,5,PT/A,A,0,50,50,NA,90,95,10,90,NA,100,100,20,95,0,50,50,100,50,50,50,100,20,80,0,0,80,20,100,60,20,0,30,70,100,70,30,0,20,80
06PLS-3,Buffalo,3,1,Rodeo4,320,Rodeo,4,PT/A,A,0,50,50,NA,70,40,NA,60,NA,80,70,70,70,0,40,30,100,60,70,70,100,50,50,0,0,50,50,100,100,50,0,40,60,100,60,40,0,50,50
06PLS-3,Buffalo,3,2,Rodeo6,321,Rodeo,6,PT/A,A,0,50,50,NA,80,60,NA,70,NA,80,70,70,70,0,80,20,100,20,80,30,100,90,10,0,0,10,90,100,70,30,0,30,70,100,70,30,0,50,50
06PLS-3,Buffalo,3,3,"2,4-D2.5",322,"2,4-D Amine",2.5,PT/A,A,50,20,30,40,70,75,20,60,80,90,90,90,85,0,60,40,100,40,60,60,70,70,60,0,30,30,40,100,70,10,0,60,40,100,40,60,0,50,50
06PLS-3,Buffalo,3,13,"Garlon3+2,4-D2.5",323,Garlon 3A,3,PT/A,A,50,40,10,80,85,95,20,90,90,100,100,20,90,0,70,30,100,30,70,40,70,70,60,0,30,30,40,100,100,10,60,20,20,40,80,80,0,80,20
06PLS-3,Buffalo,3,13,"Garlon3+2,4-D2.5",323,"2,4-D Amine",2.5,PT/A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,3,7,Ar4+Sun.25+UAN3,324,Arsenal,4,PT/A,A,0,50,50,NA,50,50,0,50,NA,100,100,70,95,0,20,20,100,80,80,80,100,20,80,0,0,80,20,100,80,30,0,30,10,100,70,90,0,20,80
06PLS-3,Buffalo,3,7,Ar4+Sun.25+UAN3,324,Sun-it II,0.25,% V/V,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,3,7,Ar4+Sun.25+UAN3,324,UAN,3,PT/A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,3,12,Kre5+COC.5,325,Krenite S,5,GAL/A,A,10,80,10,30,80,80,30,70,80,100,100,90,95,0,90,10,100,10,90,70,100,80,20,0,0,20,80,NA,NA,NA,0,30,10,100,70,90,0,40,60
06PLS-3,Buffalo,3,12,Kre5+COC.5,325,Crop Oil Conc,0.5,% V/V,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,3,10,Escort4,326,Escort,4,OZ/A,A,10,80,10,70,80,85,40,80,100,100,100,50,95,0,80,20,100,20,80,30,100,100,0,0,0,0,100,NA,NA,NA,0,10,90,100,90,10,0,20,80
06PLS-3,Buffalo,3,9,Escort2,327,Escort,2,OZ/A,A,20,60,20,40,75,75,NA,70,100,100,100,40,95,0,70,30,100,30,70,20,100,100,0,0,0,0,100,100,100,30,0,10,90,100,90,10,0,20,80
06PLS-3,Buffalo,3,14,"Escort1+2,4-D2.5",328,Escort,1,OZ/A,A,30,60,10,50,90,90,NA,80,100,100,100,30,99,20,60,20,80,40,80,30,30,80,90,0,70,20,10,70,70,10,20,10,70,80,90,30,0,20,80
06PLS-3,Buffalo,3,14,"Escort1+2,4-D2.5",328,"2,4-D Amine",2.5,PT/A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,3,8,Ar6+Sun.25+UAN3,329,Arsenal,6,PT/A,A,30,60,10,40,75,70,20,65,100,100,100,100,100,0,20,70,100,80,30,30,100,40,100,0,0,60,0,NA,NA,NA,0,10,90,100,90,90,0,20,80
06PLS-3,Buffalo,3,8,Ar6+Sun.25+UAN3,329,Sun-it II,0.25,% V/V,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,3,8,Ar6+Sun.25+UAN3,329,UAN,3,PT/A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,3,11,Kre3+COC.5,330,Krenite S,3,GAL/A,A,30,50,20, ,80,75,30,70,70,100,100,60,80,0,50,50,100,50,50,50,100,90,10,0,0,10,90,NA,NA,NA,0,20,80,100,80,80,0,20,80
06PLS-3,Buffalo,3,11,Kre3+COC.5,330,Crop Oil Conc,0.5,% V/V,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,4,14,"Escort1+2,4-D2.5",416,Escort,1,OZ/A,A,0,50,50, ,95,95,30,95,NA,100,100,40,95,0,50,50,100,50,50,50,100,20,80,0,0,80,20,100,70,60,0,60,10,100,40,90,0,30,70
06PLS-3,Buffalo,4,14,"Escort1+2,4-D2.5",416,"2,4-D Amine",2.5,PT/A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,4,5,Garlon3,417,Garlon 3A,3,PT/A,A,0,50,50, ,75,85,10,80,NA,100,100,20,90,0,60,40,100,40,60,40,100,60,40,0,0,40,60,100,60,50,0,60,40,100,40,60,0,40,60
06PLS-3,Buffalo,4,13,"Garlon3+2,4-D2.5",418,Garlon 3A,3,PT/A,A,0,50,50, ,90,95,10,95,NA,100,100,20,90,0,70,30,100,30,70,50,100,30,70,0,0,70,30,100,90,30,0,60,40,100,40,60,0,40,60
06PLS-3,Buffalo,4,13,"Garlon3+2,4-D2.5",418,"2,4-D Amine",2.5,PT/A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,4,2,Rodeo6,419,Rodeo,6,PT/A,A,0,50,50,NA,90,70, ,75,NA,80,80,80,80,0,80,20,100,20,80,30,100,40,60,0,0,60,40,100,80,30,0,60,40,100,40,60,0,30,70
06PLS-3,Buffalo,4,3,"2,4-D2.5",420,"2,4-D Amine",2.5,PT/A,A,0,80,20,NA,75,85,10,75,NA,95,95,20,95,0,70,30,100,30,70,30,100,40,60,0,0,60,40,100,70,50,0,50,50,100,50,50,0,70,30
06PLS-3,Buffalo,4,10,Escort4,421,Escort,4,OZ/A,A,50,20,30,30,75,85,30,65,85,95,95,30,45,0,90,10,100,10,90,20,100,70,30,0,0,30,70,NA,NA,NA,0,60,40,100,40,60,0,30,70
06PLS-3,Buffalo,4,11,Kre3+COC.5,422,Krenite S,3,GAL/A,A,50,20,30,40,60,60,20,60,50,100,100,40,60,0,20,80,100,80,20,20,100,80,20,0,0,20,80,NA,NA,NA,0,40,60,100,60,40,0,30,70
06PLS-3,Buffalo,4,11,Kre3+COC.5,422,Crop Oil Conc,0.5,% V/V,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,4,6,Garlon5,423,Garlon 3A,5,PT/A,A,60,20,20,80,85,85,10,85,60,100,100,20,70,20,20,60,80,80,40,40,20,90,40,0,80,10,10,70,70,30,45,30,25,55,70,75,30,40,60
06PLS-3,Buffalo,4,4,"2,4-D5",424,"2,4-D Amine",5,PT/A,A,30,50,20,60,75,75,10,70,90,100,100,20,95,0,50,50,100,50,50,50,90,70,40,0,10,30,60,100,70,30,0,70,30,100,30,70,0,70,30
06PLS-3,Buffalo,4,8,Ar6+Sun.25+UAN3,425,Arsenal,6,PT/A,A,10,80,10,30,70,70,20,5,95,100,100,100,99,0,10,30,100,90,70,70,100,80,40,0,0,20,60, , , ,0,10,90,100,90,10,0,80,20
06PLS-3,Buffalo,4,8,Ar6+Sun.25+UAN3,425,Sun-it II,0.25,% V/V,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,4,8,Ar6+Sun.25+UAN3,425,UAN,3,PT/A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,4,12,Kre5+COC.5,426,Krenite S,5,GAL/A,A,10,80,10,40,75,85, ,75,95,100,100,90,95,0,80,20,100,20,80,30,100,90,10,0,0,10,90, , , ,0,10,90,100,90,10,0,30,70
06PLS-3,Buffalo,4,12,Kre5+COC.5,426,Crop Oil Conc,0.5,% V/V,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,4,15,Weedy,427,Weedy Check, , , ,50,50,20,0,0,0,0,0,0,0,0,0,0,0,40,60,0,0,0,0,0,0,0,0,100,0,0,0,0,0,5,10,85,95,90,15,0,30,70
06PLS-3,Buffalo,4,7,Ar4+Sun.25+UAN3,428,Arsenal,4,PT/A,A,50,30,20,30,60,50,20,55,90,100,100,100,95,0,10,90,100,90,10,30,0,10,90,0,0,90,10,100,100,30,0,60,0,100,40,100,0,80,20
06PLS-3,Buffalo,4,7,Ar4+Sun.25+UAN3,428,Sun-it II,0.25,% V/V,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,4,7,Ar4+Sun.25+UAN3,428,UAN,3,PT/A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,4,9,Escort2,429,Escort,2,OZ/A,A,90,10,0,40,70,NA,30,60,60,95,95,30,70,10,40,60,90,60,40,30,70,70,60,0,30,30,40,100,80,10,20,60,20,80,40,30,0,20,80
06PLS-3,Buffalo,4,1,Rodeo4,430,Rodeo,4,PT/A,A,90,10,0,70,30,NA,NA,40,70,70,60,30,60,30,20,50,70,80,50,40,10,95,95,0,90,5,5,80,80,30,10,80,10,90,20,90,0,20,80
